username,latitude,longitude,noise_value,timestamp,tolerance_level,noise_category,region_category,aqi_value
Abhimanyu,22.49378333,88.39060833,65.8,23-01-2018 02:09,Normal,Traffic,Street/Road,0
Abhimanyu,22.49380333,88.390535,61.7,23-01-2018 02:09,Normal,Traffic,Street/Road,0
Abhimanyu,22.49387667,88.39045,65.4,23-01-2018 02:09,Normal,Traffic,Street/Road,0
Abhimanyu,22.49389167,88.39042667,59,23-01-2018 02:09,Normal,Traffic,Street/Road,0
Abhimanyu,22.49384833,88.39033667,63.9,23-01-2018 02:10,Normal,Traffic,Street/Road,0
Abhimanyu,22.49387667,88.39034167,66.4,23-01-2018 02:10,Normal,Traffic,Street/Road,0
Abhimanyu,22.49390333,88.390215,59,23-01-2018 02:10,Normal,Traffic,Street/Road,0
Abhimanyu,22.49391167,88.39010667,62.9,23-01-2018 02:10,Normal,Traffic,Street/Road,0
Abhimanyu,22.49392833,88.39,63.2,23-01-2018 02:10,Normal,Traffic,Street/Road,0
Abhimanyu,22.49391667,88.38988,61.6,23-01-2018 02:10,Normal,Traffic,Street/Road,0
Abhimanyu,22.49394833,88.38980833,62.6,23-01-2018 02:10,Normal,Traffic,Street/Road,0
Abhimanyu,22.49392833,88.38980167,65.3,23-01-2018 02:11,Normal,Traffic,Street/Road,0
Abhimanyu,22.49393833,88.38983333,62.1,23-01-2018 02:11,Normal,Traffic,Street/Road,0
Abhimanyu,22.493935,88.38983,63.9,23-01-2018 02:11,Normal,Traffic,Street/Road,0
Abhimanyu,22.493875,88.38978333,61,23-01-2018 02:11,Normal,Traffic,Street/Road,0
Abhimanyu,22.493815,88.38966833,60.7,23-01-2018 02:11,Normal,Traffic,Street/Road,0
Abhimanyu,22.49377,88.389555,65.5,23-01-2018 02:11,Normal,Traffic,Street/Road,0
Abhimanyu,22.49375833,88.38947167,68.2,23-01-2018 02:11,Normal,Traffic,Street/Road,0
Abhimanyu,22.49375667,88.38948333,65.8,23-01-2018 02:11,Normal,Traffic,Street/Road,0
Abhimanyu,22.493705,88.38947333,64.4,23-01-2018 02:11,Normal,Traffic,Street/Road,0
Abhimanyu,22.49361333,88.38939833,56.7,23-01-2018 02:11,Normal,Traffic,Street/Road,0
Abhimanyu,22.49351667,88.38931167,56,23-01-2018 02:11,Normal,Traffic,Street/Road,0
Abhimanyu,22.49347,88.38925667,64.5,23-01-2018 02:11,Normal,Traffic,Street/Road,0
Abhimanyu,22.49348333,88.38925,61.9,23-01-2018 02:12,Normal,Traffic,Street/Road,0
Abhimanyu,22.49348833,88.38924333,64.1,23-01-2018 02:12,Normal,Traffic,Street/Road,0
Abhimanyu,22.49342833,88.38917833,59.7,23-01-2018 02:12,Normal,Traffic,Street/Road,0
Abhimanyu,22.49336833,88.389125,61.6,23-01-2018 02:12,Normal,Traffic,Street/Road,0
Abhimanyu,22.49335333,88.38910667,54.9,23-01-2018 02:12,Normal,Traffic,Street/Road,0
Abhimanyu,22.49333667,88.389115,65.1,23-01-2018 02:12,Normal,Traffic,Street/Road,0
Abhimanyu,22.49321667,88.38907667,67.1,23-01-2018 02:12,Normal,Traffic,Street/Road,0
Abhimanyu,22.49309167,88.388995,65.8,23-01-2018 02:12,Normal,Traffic,Street/Road,0
Abhimanyu,22.49303667,88.38895833,59.3,23-01-2018 02:12,Normal,Traffic,Street/Road,0
Abhimanyu,22.49303667,88.38894667,62.1,23-01-2018 02:12,Normal,Traffic,Street/Road,0
Abhimanyu,22.49302667,88.38887333,62.2,23-01-2018 02:12,Normal,Traffic,Street/Road,0
Abhimanyu,22.49300833,88.388735,59.7,23-01-2018 02:12,Normal,Traffic,Street/Road,0
Abhimanyu,22.49301833,88.38865167,61.3,23-01-2018 02:13,Normal,Traffic,Street/Road,0
Abhimanyu,22.49303667,88.38866167,69.4,23-01-2018 02:13,Normal,Traffic,Street/Road,0
Abhimanyu,22.49304167,88.38865833,66.9,23-01-2018 02:13,Normal,Traffic,Street/Road,0
Abhimanyu,22.49305667,88.38861167,60.6,23-01-2018 02:13,Normal,Traffic,Street/Road,0
Abhimanyu,22.493055,88.38850333,60.2,23-01-2018 02:13,Normal,Traffic,Street/Road,0
Abhimanyu,22.49305167,88.38834,63,23-01-2018 02:13,Normal,Traffic,Street/Road,0
Abhimanyu,22.493035,88.38826833,61.3,23-01-2018 02:13,Normal,Traffic,Street/Road,0
Abhimanyu,22.49296333,88.38825833,71,23-01-2018 02:13,Normal,Traffic,Street/Road,0
Abhimanyu,22.49297833,88.38825167,67.2,23-01-2018 02:13,Normal,Traffic,Street/Road,0
Abhimanyu,22.49293667,88.38821333,62.8,23-01-2018 02:13,Normal,Traffic,Street/Road,0
Abhimanyu,22.49289833,88.38807667,58.3,23-01-2018 02:13,Normal,Traffic,Street/Road,0
Abhimanyu,22.49286667,88.38800333,58.4,23-01-2018 02:13,Normal,Traffic,Street/Road,0
Abhimanyu,22.49285667,88.388005,57.3,23-01-2018 02:14,Normal,Traffic,Street/Road,0
Abhimanyu,22.492835,88.38801833,58.1,23-01-2018 02:14,Normal,Traffic,Street/Road,0
Abhimanyu,22.49281333,88.38796833,55.9,23-01-2018 02:14,Normal,Traffic,Street/Road,0
Abhimanyu,22.492755,88.38787667,59.9,23-01-2018 02:14,Normal,Traffic,Street/Road,0
Abhimanyu,22.49267333,88.387745,64.7,23-01-2018 02:14,Normal,Traffic,Street/Road,0
Abhimanyu,22.49263333,88.38763667,55.4,23-01-2018 02:14,Normal,Traffic,Street/Road,0
Abhimanyu,22.49261167,88.38757333,53.9,23-01-2018 02:14,Normal,Traffic,Street/Road,0
Abhimanyu,22.49259333,88.38757833,58,23-01-2018 02:14,Normal,Traffic,Street/Road,0
Abhimanyu,22.49261,88.38759333,61.1,23-01-2018 02:14,Normal,Traffic,Street/Road,0
Abhimanyu,22.49260833,88.38759667,62.3,23-01-2018 02:14,Normal,Traffic,Street/Road,0
Abhimanyu,22.49256667,88.38753,57.7,23-01-2018 02:14,Normal,Traffic,Street/Road,0
Abhimanyu,22.4925,88.38737667,54.8,23-01-2018 02:14,Normal,Traffic,Street/Road,0
Abhimanyu,22.49241667,88.38725167,57.4,23-01-2018 02:15,Normal,Traffic,Street/Road,0
Abhimanyu,22.49234667,88.38718667,59.4,23-01-2018 02:15,Normal,Traffic,Street/Road,0
Abhimanyu,22.49231333,88.38716167,65.6,23-01-2018 02:15,Normal,Traffic,Street/Road,0
Abhimanyu,22.49233333,88.38715333,60.8,23-01-2018 02:15,Normal,Traffic,Street/Road,0
Abhimanyu,22.49234667,88.38712833,64.1,23-01-2018 02:15,Normal,Traffic,Street/Road,0
Abhimanyu,22.49231833,88.38704833,61.8,23-01-2018 02:15,Normal,Traffic,Street/Road,0
Abhimanyu,22.492285,88.38697167,63.3,23-01-2018 02:15,Normal,Traffic,Street/Road,0
Abhimanyu,22.49225667,88.38685333,62.1,23-01-2018 02:15,Normal,Traffic,Street/Road,0
Abhimanyu,22.49218167,88.386725,62.7,23-01-2018 02:15,Normal,Traffic,Street/Road,0
Abhimanyu,22.49214,88.386665,65.4,23-01-2018 02:15,Normal,Traffic,Street/Road,0
Abhimanyu,22.49215333,88.38668,57.9,23-01-2018 02:15,Normal,Traffic,Street/Road,0
Abhimanyu,22.49216,88.38670667,57,23-01-2018 02:15,Normal,Traffic,Street/Road,0
Abhimanyu,22.49211833,88.38660833,58.4,23-01-2018 02:16,Normal,Traffic,Street/Road,0
Abhimanyu,22.49206833,88.386475,60.3,23-01-2018 02:16,Normal,Traffic,Street/Road,0
Abhimanyu,22.49200833,88.38638,55.4,23-01-2018 02:16,Normal,Traffic,Street/Road,0
Abhimanyu,22.49198667,88.38631167,54.8,23-01-2018 02:16,Normal,Traffic,Street/Road,0
Abhimanyu,22.49198667,88.38632167,56.3,23-01-2018 02:16,Normal,Traffic,Street/Road,0
Abhimanyu,22.49196667,88.38634,60.3,23-01-2018 02:16,Normal,Traffic,Street/Road,0
Abhimanyu,22.491965,88.38634167,60.7,23-01-2018 02:16,Normal,Traffic,Street/Road,0
Abhimanyu,22.49192333,88.38622,68,23-01-2018 02:16,Normal,Traffic,Street/Road,0
Abhimanyu,22.49184,88.38609333,62.3,23-01-2018 02:16,Normal,Traffic,Street/Road,0
Abhimanyu,22.49177,88.38597,63.8,23-01-2018 02:16,Normal,Traffic,Street/Road,0
Abhimanyu,22.49171333,88.38590833,65.8,23-01-2018 02:16,Normal,Traffic,Street/Road,0
Abhimanyu,22.49171167,88.38585667,64.5,23-01-2018 02:16,Normal,Traffic,Street/Road,0
Abhimanyu,22.49172333,88.38587667,62.4,23-01-2018 02:17,Normal,Traffic,Street/Road,0
Abhimanyu,22.49177667,88.38586167,59.6,23-01-2018 02:17,Normal,Traffic,Street/Road,0
Abhimanyu,22.491785,88.38578167,62.3,23-01-2018 02:17,Normal,Traffic,Street/Road,0
Abhimanyu,22.49175,88.38565333,67.9,23-01-2018 02:17,Normal,Traffic,Street/Road,0
Abhimanyu,22.49173167,88.38554833,60.3,23-01-2018 02:17,Normal,Traffic,Street/Road,0
Abhimanyu,22.49171667,88.38545667,60.1,23-01-2018 02:17,Normal,Traffic,Street/Road,0
Abhimanyu,22.49174833,88.385445,65.4,23-01-2018 02:17,Normal,Traffic,Street/Road,0
Abhimanyu,22.491765,88.38545667,65.3,23-01-2018 02:17,Normal,Traffic,Street/Road,0
Abhimanyu,22.49173167,88.38540667,65.5,23-01-2018 02:17,Normal,Traffic,Street/Road,0
Abhimanyu,22.491705,88.385315,60.8,23-01-2018 02:17,Normal,Traffic,Street/Road,0
Abhimanyu,22.491655,88.38517833,61.2,23-01-2018 02:17,Normal,Traffic,Street/Road,0
Abhimanyu,22.49161167,88.38507167,62.3,23-01-2018 02:17,Normal,Traffic,Street/Road,0
Abhimanyu,22.49161833,88.38499833,65.3,23-01-2018 02:18,Normal,Traffic,Street/Road,0
Abhimanyu,22.49163833,88.38501167,66,23-01-2018 02:18,Normal,Traffic,Street/Road,0
Abhimanyu,22.49164,88.38501333,60.4,23-01-2018 02:18,Normal,Traffic,Street/Road,0
Abhimanyu,22.49163167,88.384965,64,23-01-2018 02:18,Normal,Traffic,Street/Road,0
